1648930	nm0138620	Joe Carnahan:nm0138620:I:nm0138620:tt0429493:tt0429493	nm0138620:1648930.2:movie	The A-Team	2010	117	Action,Adventure,Thriller
1652063	nm1490123	James Wan:nm1490123:I:nm1490123:tt3065204:tt3065204	nm1490123:1652063.0:movie	The Conjuring 2	2016	134	Horror,Mystery,Thriller
1694864	nm0948159	Wilson Yip:nm0948159:I:nm0948159:tt1220719:tt1220719	nm0948159:1694864.0:movie	Ip Man	2008	106	Action,Biography,Drama
1729174	nm1429471	Jaume Collet-Serra:nm1429471:I:nm1429471:tt2024469:tt2024469	nm1429471:1729174.5:movie	Non-Stop	2014	106	Action,Mystery,Thriller
1799998	nm1950086	Greta Gerwig:nm1950086:I:nm1950086:tt4925292:tt4925292	nm1950086:1799998.2:movie	Lady Bird	2017	94	Comedy,Drama
1801245	nm1053530	Tom Ford:nm1053530:I:nm1053530:tt4550098:tt4550098	nm1053530:1801245.0:movie	Nocturnal Animals	2016	116	Drama,Thriller
1827321	nm0576298	Olivier Megaton:nm0576298:I:nm0576298:tt1397280:tt1397280	nm0576298:1827321.4:movie	Taken 2	2012	92	Action,Thriller
1833842	nm0001130	Ted Demme:nm0001130:I:nm0001130:tt0221027:tt0221027	nm0001130:1833842.0:movie	Blow	2001	124	Biography,Crime,Drama
1834070	nm0950775	Jennifer Yuh Nelson:nm0950775:I:nm0950775:tt1302011:tt1302011	nm0950775:1834070.4:movie	Kung Fu Panda 2	2011	90	Action,Adventure,Animation
1901580	nm1294962	Peter Spierig:nm1294962:I:nm1294962:tt2397535:tt2397535	nm1294961,nm1294962:1901580.0:movie	Predestination	2014	97	Action,Drama,Sci-Filoop
1912038	nm0083348	Brad Bird:nm0083348:I:nm0083348:tt3606756:tt3606756	nm0083348:1912038.4:movie	Incredibles 2	2018	118	Action,Adventure,Animation
1915807	nm0001466	Sergio Leone:nm0001466:I:nm0001466:tt0059578:tt0059578	nm0001466:1915807.0:movie	For a Few Dollars More	1965	132	Western
1918436	nm0307497	Alex Garland:nm0307497:I:nm0307497:tt2798920:tt2798920	nm0307497:1918436.5:movie	Annihilation	2018	115	Adventure,Drama,Horror
1936724	nm0518836	Kenneth Lonergan:nm0518836:I:nm0518836:tt4034228:tt4034228	nm0518836:1936724.5:movie	Manchester by the Sea	2016	137	Drama
2031771	nm0777881	Robert Schwentke:nm0777881:I:nm0777881:tt1245526:tt1245526	nm0777881:2031771.0:movie	RED	2010	111	Action,Comedy,Crime
2053884	nm0000386	Roland Emmerich:nm0000386:I:nm0000386:tt1190080:tt1190080	nm0000386:2053884.5:movie	2012	2009	158	Action,Adventure,Sci-Fi
2121236	nm0000230	Sylvester Stallone:nm0000230:I:nm0000230:tt1320253:tt1320253	nm0000230:2121236.0:movie	The Expendables	2010	103	Action,Adventure,Thriller
2218111	nm0715636	Peyton Reed:nm0715636:I:nm0715636:tt5095030:tt5095030	nm0715636:2218111.0:movie	Ant-Man and the Wasp	2018	118	Action,Adventure,Comedy
2274955	nm0000154	Mel Gibson:nm0000154:I:nm0000154:tt0472043:tt0472043	nm0000154:2274955.8:movie	Apocalypto	2006	139	Action,Adventure,Drama
2386238	nm0000709	Robert Zemeckis:nm0000709:I:nm0000709:tt1907668:tt1907668	nm0000709:2386238.8:movie	Flight	2012	138	Drama,Thriller
2392756	nm0003506	James Mangold:nm0003506:I:nm0003506:tt1950186:tt1950186	nm0003506:2392756.2:movie	Ford v Ferrari	2019	152	Action,Biography,Drama
2424598	nm0031976	Judd Apatow:nm0031976:I:nm0031976:tt0478311:tt0478311	nm0031976:2424598.0:movie	Knocked Up	2007	129	Comedy,Romance
2469034	nm1202515	Kurt Dumas:nm1202515:I:nm1202515:tt0182576:tt0182576	nm0939997,nm0693933,nm0532235,nm0849276,nm1147126,nm3196934,nm0688913,nm0809823,nm0453606,nm1401131,nm0891331,nm2835602,nm0227204,nm0597671,nm1201471,nm0727518,nm2531622,nm0458647,nm0778772,nm0616742,nm0943118,nm0066548,nm2638975,nm1108814,nm0949906,nm0418480,nm0004257,nm0392146,nm0585086,nm1016094,nm1462498,nm0719952,nm0793804,nm1398960,nm0296586,nm0012682,nm1193561,nm0217317,nm0384285,nm0444054,nm1479393,nm1202515:2469034.0:tvSeries	Family Guy	1999	22	Animation,Comedyloop
2629101	nm0710020	Joe Ranft:nm0710020:I:nm0710020:tt0317219:tt0317219	nm0005124,nm0710020:2629101.5:movie	Cars	2006	117	Animation,Comedy,Familyloop
2659437	nm0922035	Dominic West:nm0922035:I:nm0922035:tt0306414:tt0306414	nm0152640,nm0225416,nm0424800,nm0080601,nm0793455,nm0003733,nm0887700,nm0002140,nm0026442,nm0899364,nm0047458,nm0444709,nm1734368,nm0952352,nm0376006,nm0542960,nm0541391,nm0575389,nm0616254,nm0171348,nm0942869,nm0508883,nm0570995,nm0686853,nm0527160,nm0444271,nm0922035:2659437.2:tvSeries	The Wire	2002	59	Crime,Drama,Thrillerloop
2665228	nm0751102	David O. Russell:nm0751102:I:nm0751102:tt0964517:tt0964517	nm0751102:2665228.8:movie	The Fighter	2010	116	Biography,Drama,Sport
